           1,            1,   -29.468    
           2,            2,   -52.234    
           3,            3,   -29.468    
           4,            4,   -85.885    
           5,            5,   -39.796    
           6,            6,   -22.343    
           7,            7,   -47.885    
           8,            8,  -0.23562E-01
           9,            9,   -182.33    
          10,           10,   -137.44    
          11,           11,   -22.319    
          12,           12,   -48.355    
          13,           13,   -103.74    
          14,           14,   -43.110    
          15,           15,   -3.2882    
          16,           16,   -3.2673    
          17,           17,   -19.627    
          18,           18,   -74.361    
          19,           19,   -46.328    
          20,           20,   -49.863    
          21,           21,   -147.67    
          22,           22,   -416.83    
          23,           23,   -375.33    
          24,           24,   -28.619    
          25,           25,   -74.337    
          26,           26,   -29.042    
          27,           27,   -48.332    
          28,           28,   -28.595    
          29,           29,   -10.269    
          30,           30,   -59.895    
          31,           31,   -314.72    
          32,           32,   -50.915    
          33,           33,   -5.1129    
          34,           34,   -84.965    
          35,           35,   -5.1365    
          36,           36,   -14.130    
          37,           37,   -2.3946    
          38,           38,   -255.49    
          39,           39,   -251.59    
          40,           40,   -206.04    
          41,           41,  -0.23562E-01
          42,           42,   -64.654    
          43,           43,  -0.47036    
          44,           44,   -168.59    
          45,           45,   -29.803    
          46,           46,   -2.8414    
          47,           47,   -138.08    
          48,           48,   -75.845    
          49,           49,   -141.17    
          50,           50,   -58.448    
          51,           51,   -77.823    
          52,           52,   -188.94    
          53,           53,   -30.990    
          54,           54,   -211.55    
          55,           55,   -359.97    
          56,           56,   -65.143    
          57,           57,  -0.44680    
          58,           58,   -15.785    
          59,           59,  -0.44680    
          60,           60,   -288.48    
          61,           61,   -9.3759    
          62,           62,   -69.069    
          63,           63,   -169.41    
          64,           64,   -149.60    
          65,           65,   -30.990    
          66,           66,   -6.9813    
          67,           67,   -19.157    
          68,           68,   -15.338    
          69,           69,   -26.403    
          70,           70,  -0.89623    
          71,           71,   -72.173    
          72,           72,   -9.2922    
          73,           73,   -111.85    
          74,           74,   -83.713    
          75,           75,   -2.4181    
          76,           76,   -63.246    
          77,           77,  -0.87267    
          78,           78,   -3.2908    
          79,           79,   -49.135    
          80,           80,   -190.39    
          81,           81,   -15.352    
          82,           82,   -121.70    
          83,           83,   -106.06    
          84,           84,   -124.64    
          85,           85,   -43.957    
          86,           86,  -0.23562E-01
          87,           87,   -65.548    
          88,           88,   -56.053    
          89,           89,   -1.7663    
          90,           90,   -63.279    
          91,           91,   -121.22    
          92,           92,   -4.0448    
          93,           93,   -80.320    
          94,           94,   -157.02    
          95,           95,   -47.908    
          96,           96,   -18.189    
          97,           97,  -0.49392    
          98,           98,   -75.055    
          99,           99,   -87.336    
         100,          100,   -24.009    
         101,          101,   -31.220    
         102,          102,   -47.180    
         103,          103,   -77.178    
         104,          104,   -40.659    
         105,          105,   -16.720    
         106,          106,   -9.2922    
         107,          107,   -11.476    
         108,          108,   -215.75    
         109,          109,   -131.27    
         110,          110,   -76.732    
         111,          111,  -0.44680    
         112,          112,   -2.8649    
         113,          113,   -5.1365    
         114,          114,   -9.8227    
         115,          115,   -6.9813    
         116,          116,  -0.89623    
         117,          117,   -6.9813    
         118,          118,   -14.905    
         119,          119,  -0.23562E-01
         120,          120,   -19.674    
         121,          121,   -12.960    
         122,          122,   -62.706    
         123,          123,   -1.3195    
         124,          124,   -5.9856    
         125,          125,   -50.091    
         126,          126,   -70.742    
         127,          127,   -12.064    
         128,          128,   -58.126    
         129,          129,   -167.69    
         130,          130,   -109.55    
         131,          131,   -231.54    
         132,          132,   -27.458    
         133,          133,   -1.3195    
         134,          134,   -39.828    
         135,          135,   -34.299    
         136,          136,   -16.211    
         137,          137,   -255.23    
         138,          138,   -65.101    
         139,          139,   -43.591    
         140,          140,   -10.209    
         141,          141,   -23.586    
         142,          142,  -0.23562E-01
         143,          143,   -96.510    
         144,          144,   -41.476    
         145,          145,   -96.533    
         146,          146,   -18.542    
         147,          147,   -22.319    
         148,          148,   -3.5744    
         149,          149,   -66.469    
         150,          150,   -13.963    
         151,          151,   -48.143    
         152,          152,   -4.0212    
         153,          153,   -5.9690    
         154,          154,   -13.383    
         155,          155,   -43.989    
         156,          156,   -61.387    
         157,          157,   -276.77    
         158,          158,   -61.463    
         159,          159,   -73.883    
         160,          160,   -216.60    
         161,          161,   -36.889    
         162,          162,   -120.19    
         163,          163,   -121.18    
         164,          164,  -0.44680    
         165,          165,   -16.232    
         166,          166,   -29.492    
         167,          167,  -0.44680    
         168,          168,   -19.806    
         169,          169,   -208.43    
         170,          170,   -282.32    
         171,          171,   -212.20    
         172,          172,   -89.054    
         173,          173,   -52.067    
         174,          174,  -0.47036    
         175,          175,   -7.0049    
         176,          176,   -34.495    
         177,          177,   -55.313    
         178,          178,  -0.47036    
         179,          179,   -56.726    
         180,          180,   -495.26    
         181,          181,   -144.39    
         182,          182,   -244.21    
         183,          183,   -6.9813    
         184,          184,   -389.96    
         185,          185,   -24.246    
         186,          186,   -153.25    
         187,          187,   -5.1601    
         188,          188,   -637.71    
         189,          189,   -3.5980    
         190,          190,   -7.0049    
         191,          191,   -286.45    
         192,          192,   -120.71    
         193,          193,   -15.338    
         194,          194,   -2.3946    
         195,          195,   -31.667    
         196,          196,   -33.685    
         197,          197,   -11.687    
         198,          198,   -4.0212    
         199,          199,   -43.133    
         200,          200,   -33.070    
         201,          201,   -9.2922    
         202,          202,   -24.630    
         203,          203,   -3.5744    
         204,          204,   -12.087    
         205,          205,   -201.08    
         206,          206,   -36.526    
         207,          207,   -4.0212    
         208,          208,   -65.124    
         209,          209,   -58.692    
         210,          210,   -55.851    
